band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_Red,Roy,DSWE1a,LS8,LS7,deming,-0.008312507734189734,0.9613748285695616,NA,NA,-0.008,0.2
med_Nir,Roy,DSWE1a,LS8,LS7,lm,6.627392360821848e-4,0.5784637496594416,NA,NA,-0.01,0.2
med_Nir,Roy,DSWE1a,LS8,LS7,deming,-0.017036144599133204,1.1118615494482977,NA,NA,-0.01,0.2
med_SurfaceTemp,Roy,DSWE1a,LS8,LS7,lm,5.59669722319371,0.9853579226939169,NA,NA,273.15,313.03
med_SurfaceTemp,Roy,DSWE1a,LS8,LS7,deming,-21.10223703553906,1.0782659836460537,NA,NA,273.15,313.03
med_Blue,Roy,DSWE1a,LS7,LS8,lm,0.021288264888649135,0.79547440299253,NA,NA,-0.01,0.182
med_Blue,Roy,DSWE1a,LS7,LS8,deming,0.011919057443927619,1.3588894143798762,NA,NA,-0.01,0.182
med_Green,Roy,DSWE1a,LS7,LS8,lm,0.015937675307451087,0.7993204019698013,NA,NA,-0,0.199
med_Green,Roy,DSWE1a,LS7,LS8,deming,0.009087991450093856,1.0058504865914977,NA,NA,-0,0.199
med_Red,Roy,DSWE1a,LS7,LS8,lm,0.013986606739787705,0.8389837026383105,NA,NA,-0.01,0.2
med_Red,Roy,DSWE1a,LS7,LS8,deming,0.008646340935035236,1.0401823189740764,NA,NA,-0.01,0.2
med_Nir,Roy,DSWE1a,LS7,LS8,lm,0.02285110184384964,0.5266810946153081,NA,NA,-0.01,0.199
med_Nir,Roy,DSWE1a,LS7,LS8,deming,0.015321937867703774,0.8994046902589271,NA,NA,-0.01,0.199
med_SurfaceTemp,Roy,DSWE1a,LS7,LS8,lm,37.169389259919605,0.8667079567637016,NA,NA,273.15,313.09
med_SurfaceTemp,Roy,DSWE1a,LS7,LS8,deming,19.56597694457283,0.9274307046622077,NA,NA,273.15,313.09
med_Blue,Gardner,DSWE1,LS5,LS7,poly,0.005356026274493057,NA,0.6812341802063274,2.05442375901582,0.01,0.097
med_Green,Gardner,DSWE1,LS5,LS7,poly,0.006038634431406488,NA,0.6032667828591515,1.241954371964825,0.012,0.143
med_Red,Gardner,DSWE1,LS5,LS7,poly,0.002164944215393055,NA,0.7729281842940212,0.013069600679647646,0.007,0.149
med_Nir,Gardner,DSWE1,LS5,LS7,poly,-4.435628861401405e-4,NA,0.9204488251371363,-1.5448634410077928,0.011,0.126
med_SurfaceTemp,Gardner,DSWE1,LS5,LS7,poly,245.5282320179874,NA,-0.6642813622237019,0.0027910633943000174,274.17,304.32
med_Blue,Gardner,DSWE1a,LS5,LS7,poly,0.005308210993717209,NA,0.6825963351035039,2.04573017020272,0.01,0.097
med_Green,Gardner,DSWE1a,LS5,LS7,poly,0.0060490885600041145,NA,0.6054090770300199,1.218372198526242,0.012,0.143
med_Red,Gardner,DSWE1a,LS5,LS7,poly,0.002010952315070169,NA,0.7797599988907132,-0.01787758828771836,0.007,0.149
med_Nir,Gardner,DSWE1a,LS5,LS7,poly,-3.798216537412982e-4,NA,0.9207553046475694,-1.5872492848709518,0.011,0.129
med_SurfaceTemp,Gardner,DSWE1a,LS5,LS7,poly,251.3322987954196,NA,-0.7046942552515014,0.0028612545404587443,274.17,304.35
med_Blue,Gardner,DSWE1,LS8,LS7,poly,0.01022451245740417,NA,1.2390250146566681,-3.4253503967769623,0.001,0.09
med_Green,Gardner,DSWE1,LS8,LS7,poly,0.00827330054790545,NA,0.7455206589446837,1.0048274903986418,0.005,0.131
med_Red,Gardner,DSWE1,LS8,LS7,poly,0.006754538977954645,NA,0.8977347148753164,0.44442167314082515,-0.002,0.123
med_Nir,Gardner,DSWE1,LS8,LS7,poly,0.013473516791269296,NA,0.7330605286463637,0.5134911110694206,-0.003,0.099
med_SurfaceTemp,Gardner,DSWE1,LS8,LS7,poly,387.6000307300898,NA,-1.6040216792425925,0.004337974057489555,273.89,304.54
med_Blue,Gardner,DSWE1a,LS8,LS7,poly,0.01022915984249037,NA,1.2370936519884312,-3.297600671133801,0,0.089
med_Green,Gardner,DSWE1a,LS8,LS7,poly,0.008660955403741856,NA,0.7088962467312439,1.3626571554678464,0.005,0.13
med_Red,Gardner,DSWE1a,LS8,LS7,poly,0.00653756946921054,NA,0.9045667401616191,0.4907698417534001,-0.002,0.122
med_Nir,Gardner,DSWE1a,LS8,LS7,poly,0.013488703586221241,NA,0.7320948169037681,-0.7377234458652868,-0.003,0.123
med_SurfaceTemp,Gardner,DSWE1a,LS8,LS7,poly,430.71263251246893,NA,-1.903148098478532,0.004855177416956724,273.91,304.57
med_Blue,Gardner,DSWE1,LS7,LS8,poly,-0.006512090297416228,NA,0.6514744307254386,3.9086576702461415,0.01,0.095
med_Green,Gardner,DSWE1,LS7,LS8,poly,-0.010598456477649116,NA,1.3321569500071093,-1.4975938056188245,0.011,0.123
med_Red,Gardner,DSWE1,LS7,LS8,poly,-0.007358653666174598,NA,1.1109919621276132,-0.47529343121354467,0.005,0.123
med_Nir,Gardner,DSWE1,LS7,LS8,poly,-0.018218985311191566,NA,1.3748340516937785,-0.96567038826647,0.008,0.093
med_SurfaceTemp,Gardner,DSWE1,LS7,LS8,poly,-511.8834313919724,NA,4.480681335534957,-0.005880292789604913,273.72,301.33
med_Blue,Gardner,DSWE1a,LS7,LS8,poly,-0.006714921943283361,NA,0.6671592217622865,3.628977276018217,0.01,0.095
med_Green,Gardner,DSWE1a,LS7,LS8,poly,-0.0112829711354321,NA,1.3832934730121538,-1.9889945171033812,0.011,0.123
med_Red,Gardner,DSWE1a,LS7,LS8,poly,-0.007024594511124125,NA,1.1008005031336794,-0.4983075227910052,0.005,0.123
med_Nir,Gardner,DSWE1a,LS7,LS8,poly,-0.017491696245033647,NA,1.2723879578972306,2.6164406841586536,0.008,0.095
med_SurfaceTemp,Gardner,DSWE1a,LS7,LS8,poly,-567.7562441615137,NA,4.872013934488942,-0.006563662845280873,273.72,301.38
