band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_Blue,Roy,DSWE1a,LS5,LS7,lm,0.008015848644076697,0.8044201136655491,NA,NA,-0.009507500000000002,0.1991075
med_Blue,Roy,DSWE1a,LS5,LS7,deming,8.12930327927928e-4,1.0093801633734516,NA,NA,-0.009507500000000002,0.1991075
med_Green,Roy,DSWE1a,LS5,LS7,lm,0.00882733241733763,0.902965362011907,NA,NA,-0.004750000000000004,0.199575
med_Green,Roy,DSWE1a,LS5,LS7,deming,0.003616859420938093,1.0147098569078465,NA,NA,-0.004750000000000004,0.199575
med_Red,Roy,DSWE1a,LS5,LS7,lm,0.008561625063168663,0.8800343211239413,NA,NA,-0.009287500000000004,0.19996000000000003
med_Red,Roy,DSWE1a,LS5,LS7,deming,0.004464173808808415,0.9834911394127817,NA,NA,-0.009287500000000004,0.19996000000000003
med_Nir,Roy,DSWE1a,LS5,LS7,lm,0.009439680652443659,0.7855193543848903,NA,NA,-0.009975000000000012,0.1999875
med_Nir,Roy,DSWE1a,LS5,LS7,deming,0.0019784804232737523,0.9887190286321951,NA,NA,-0.009975000000000012,0.1999875
med_SurfaceTemp,Roy,DSWE1a,LS5,LS7,lm,7.906712126233651,0.9746360172071161,NA,NA,273.15103145,313.14699248
med_SurfaceTemp,Roy,DSWE1a,LS5,LS7,deming,-6.300245790421739,1.0237748350316735,NA,NA,273.15103145,313.14699248
med_Blue,Roy,DSWE1a,LS8,LS7,lm,-0.003925018919886318,0.6389499911851227,NA,NA,-0.008256250000000007,0.19829625
med_Blue,Roy,DSWE1a,LS8,LS7,deming,-0.010896885055449685,0.8066763246536125,NA,NA,-0.008256250000000007,0.19829625
med_Green,Roy,DSWE1a,LS8,LS7,lm,-2.2856026163648631e-4,0.8165600557155798,NA,NA,-0.006345000000000017,0.1999875
med_Green,Roy,DSWE1a,LS8,LS7,deming,-0.009001461802548062,0.9831316687246908,NA,NA,-0.006345000000000017,0.1999875
med_Red,Roy,DSWE1a,LS8,LS7,lm,-0.0023205578016574717,0.820354546022589,NA,NA,-0.007541250000000013,0.19974000000000003
med_Red,Roy,DSWE1a,LS8,LS7,deming,-0.009131336468839547,0.9660498418641597,NA,NA,-0.007541250000000013,0.19974000000000003
med_Nir,Roy,DSWE1a,LS8,LS7,lm,1.5185457517513334e-4,0.6196294341708576,NA,NA,-0.0097825,0.19996000000000003
med_Nir,Roy,DSWE1a,LS8,LS7,deming,-0.014037506845175692,0.9698660286257601,NA,NA,-0.0097825,0.19996000000000003
med_SurfaceTemp,Roy,DSWE1a,LS8,LS7,lm,3.3790866829595694,0.9933913669035699,NA,NA,273.15103145,313.11281227999996
med_SurfaceTemp,Roy,DSWE1a,LS8,LS7,deming,-13.493243795538302,1.0519648040582712,NA,NA,273.15103145,313.11281227999996
med_Blue,Roy,DSWE1a,LS7,LS8,lm,0.022048561593610308,0.8665131085526981,NA,NA,-0.0096175,0.18817625
med_Blue,Roy,DSWE1a,LS7,LS8,deming,0.013914158275562513,1.2189649164525038,NA,NA,-0.0096175,0.18817625
med_Green,Roy,DSWE1a,LS7,LS8,lm,0.01685847556416425,0.8314539372761726,NA,NA,-5.425000000000013e-4,0.19952000000000003
med_Green,Roy,DSWE1a,LS7,LS8,deming,0.009277473433748436,1.0159884754441901,NA,NA,-5.425000000000013e-4,0.19952000000000003
med_Red,Roy,DSWE1a,LS7,LS8,lm,0.015616486349780308,0.8557847929162559,NA,NA,-0.009810000000000011,0.19953375
med_Red,Roy,DSWE1a,LS7,LS8,deming,0.009121120347569765,1.0441643136856238,NA,NA,-0.009810000000000011,0.19953375
med_Nir,Roy,DSWE1a,LS7,LS8,lm,0.024532466329552017,0.6461452665684688,NA,NA,-0.009851250000000006,0.19947875
med_Nir,Roy,DSWE1a,LS7,LS8,deming,0.014892937924188769,1.0134749467212278,NA,NA,-0.009851250000000006,0.19947875
med_SurfaceTemp,Roy,DSWE1a,LS7,LS8,lm,27.602604176196767,0.8997341023223543,NA,NA,273.15103145,313.14870149
med_SurfaceTemp,Roy,DSWE1a,LS7,LS8,deming,12.965512305554737,0.9502090117999239,NA,NA,273.15103145,313.14870149
